timestamp,traffic_type,type,direction,harq,prbs,tb_len,mod,rv_idx,cr,retx,crc_ok,snr,mcs,format,total_len
2025-08-29 13:37:55.061,URLLC,MAC,UL,,,,,,,,,,,,136.0
2025-08-29 13:37:55.062,URLLC,PUSCH,UL,11.0,-15.0,141.0,6.0,0.0,0.65,0.0,1.0,,,,
2025-08-29 13:37:55.065,URLLC,PDCCH,DL,,,,,,,,,,23.0,,
2025-08-29 13:37:55.066,URLLC,PDSCH,DL,4.0,1.0,4992.0,8.0,0.0,0.78,0.0,1.0,32.9,,,
2025-08-29 13:37:55.066,URLLC,MAC,DL,,,,,,,,,,,,4987.0
2025-08-29 13:37:55.067,URLLC,PUCCH,UL,,,,,,,,,,,1.0,
2025-08-29 13:37:55.067,URLLC,PUCCH,UL,,,,,,,,,,,1.0,
2025-08-29 13:37:55.070,URLLC,PDCCH,DL,,,,,,,,,,17.0,,
2025-08-29 13:37:55.070,URLLC,MAC,UL,,,,,,,,,,,,160.0
2025-08-29 13:37:55.072,URLLC,PUSCH,UL,12.0,-266.0,165.0,6.0,0.0,0.75,0.0,1.0,,,,
2025-08-29 13:37:55.162,URLLC,PUCCH,UL,,,,,,,,,,,1.0,
2025-08-29 13:37:55.166,URLLC,PDCCH,DL,,,,,,,,,,14.0,,
2025-08-29 13:37:55.166,URLLC,MAC,UL,,,,,,,,,,,,121.0
2025-08-29 13:37:55.167,URLLC,PUSCH,UL,13.0,-135.0,129.0,6.0,0.0,0.6,0.0,1.0,,,,
2025-08-29 13:37:55.170,URLLC,PDCCH,DL,,,,,,,,,,23.0,,
2025-08-29 13:37:55.171,URLLC,MAC,DL,,,,,,,,,,,,4987.0
2025-08-29 13:37:55.171,URLLC,PDSCH,DL,5.0,-175.0,4992.0,8.0,0.0,0.78,0.0,1.0,32.9,,,
2025-08-29 13:37:55.172,URLLC,PUCCH,UL,,,,,,,,,,,1.0,
2025-08-29 13:37:55.172,URLLC,PUCCH,UL,,,,,,,,,,,1.0,
2025-08-29 13:37:55.175,URLLC,PDCCH,DL,,,,,,,,,,17.0,,
2025-08-29 13:37:55.175,URLLC,MAC,UL,,,,,,,,,,,,160.0
2025-08-29 13:37:55.177,URLLC,PUSCH,UL,14.0,-266.0,165.0,6.0,0.0,0.75,0.0,1.0,,,,
2025-08-29 13:37:55.262,URLLC,PUCCH,UL,,,,,,,,,,,1.0,
2025-08-29 13:37:55.266,URLLC,MAC,UL,,,,,,,,,,,,124.0
2025-08-29 13:37:55.266,URLLC,PDCCH,DL,,,,,,,,,,14.0,,
2025-08-29 13:37:55.267,URLLC,PUSCH,UL,15.0,-263.0,129.0,6.0,0.0,0.6,0.0,1.0,,,,
2025-08-29 13:37:55.270,URLLC,PDCCH,DL,,,,,,,,,,23.0,,
2025-08-29 13:37:55.271,URLLC,PDSCH,DL,6.0,-127.0,4992.0,8.0,0.0,0.78,0.0,1.0,33.2,,,
2025-08-29 13:37:55.271,URLLC,MAC,DL,,,,,,,,,,,,4987.0
2025-08-29 13:37:55.272,URLLC,PUCCH,UL,,,,,,,,,,,1.0,
2025-08-29 13:37:55.272,URLLC,PUCCH,UL,,,,,,,,,,,1.0,
2025-08-29 13:37:55.275,URLLC,PDCCH,DL,,,,,,,,,,12.0,,
2025-08-29 13:37:55.275,URLLC,MAC,UL,,,,,,,,,,,,103.0
2025-08-29 13:37:55.277,URLLC,PUSCH,UL,0.0,1.0,111.0,6.0,0.0,0.5,0.0,1.0,,,,
2025-08-29 13:37:55.362,URLLC,PUCCH,UL,,,,,,,,,,,1.0,
